path_image,label
Image_ciphar10_3000/41406.png,2
Image_ciphar10_3000/24149.png,3
Image_ciphar10_3000/32718.png,9
Image_ciphar10_3000/3948.png,6
Image_ciphar10_3000/35372.png,1
Image_ciphar10_3000/13127.png,7
Image_ciphar10_3000/34605.png,4
Image_ciphar10_3000/29598.png,4
Image_ciphar10_3000/10771.png,3
Image_ciphar10_3000/36978.png,7
Image_ciphar10_3000/354.png,8
Image_ciphar10_3000/40595.png,1
Image_ciphar10_3000/36199.png,9
Image_ciphar10_3000/1260.png,6
Image_ciphar10_3000/40837.png,6
Image_ciphar10_3000/46171.png,6
Image_ciphar10_3000/17944.png,7
Image_ciphar10_3000/23739.png,0
Image_ciphar10_3000/35820.png,5
Image_ciphar10_3000/29284.png,1
Image_ciphar10_3000/22525.png,8
Image_ciphar10_3000/42423.png,9
Image_ciphar10_3000/11745.png,1
Image_ciphar10_3000/14820.png,2
Image_ciphar10_3000/46373.png,4
Image_ciphar10_3000/16657.png,3
Image_ciphar10_3000/41792.png,7
Image_ciphar10_3000/6196.png,9
Image_ciphar10_3000/22324.png,7
Image_ciphar10_3000/34681.png,4
Image_ciphar10_3000/48556.png,5
Image_ciphar10_3000/21330.png,7
Image_ciphar10_3000/1607.png,2
Image_ciphar10_3000/29793.png,1
Image_ciphar10_3000/42805.png,0
Image_ciphar10_3000/33745.png,4
Image_ciphar10_3000/38457.png,2
Image_ciphar10_3000/30505.png,8
Image_ciphar10_3000/1478.png,0
Image_ciphar10_3000/26856.png,2
Image_ciphar10_3000/7250.png,9
Image_ciphar10_3000/32448.png,8
Image_ciphar10_3000/10265.png,4
Image_ciphar10_3000/3088.png,3
Image_ciphar10_3000/17276.png,1
Image_ciphar10_3000/38551.png,7
Image_ciphar10_3000/28672.png,1
Image_ciphar10_3000/18838.png,2
Image_ciphar10_3000/28094.png,5
Image_ciphar10_3000/26085.png,6
Image_ciphar10_3000/40511.png,4
Image_ciphar10_3000/41632.png,9
Image_ciphar10_3000/3845.png,7
Image_ciphar10_3000/10410.png,2
